state_code,democratic_votes,republican_votes,other_votes,year,election
KS,"427,005","671,018","86,379","2,016",President
KY,"628,854","1,202,971","92,324","2,016",President
LA,"780,154","1,178,638","70,240","2,016",President
ME,"357,735","335,593","54,599","2,016",President
MD,"1,677,928","943,169","160,349","2,016",President
MA,"1,995,196","1,090,893","238,957","2,016",President
MI,"2,268,839","2,279,543","250,902","2,016",President
MN,"1,367,716","1,322,951","254,146","2,016",President
MS,"485,131","700,714","23,512","2,016",President
MO,"1,071,068","1,594,511","143,026","2,016",President
MT,"177,709","279,240","40,198","2,016",President
NE,"284,494","495,961","63,772","2,016",President
NV,"539,260","512,058","74,067","2,016",President
NH,"348,526","345,790","49,980","2,016",President
NJ,"2,148,278","1,601,933","123,835","2,016",President
NM,"385,234","319,667","93,418","2,016",President
NY,"4,556,118","2,819,533","345,791","2,016",President
NC,"2,189,316","2,362,631","189,617","2,016",President
ND,"93,758","216,794","33,808","2,016",President
OH,"2,394,164","2,841,005","261,318","2,016",President
OK,"420,375","949,136","83,481","2,016",President
OR,"1,002,106","782,403","216,827","2,016",President
PA,"2,926,441","2,970,733","268,304","2,016",President
RI,"252,525","180,543","31,076","2,016",President
SC,"855,373","1,155,389","92,265","2,016",President
SD,"117,458","227,721","24,914","2,016",President
TN,"870,695","1,522,925","114,407","2,016",President
TX,"3,877,868","4,685,047","406,311","2,016",President
UT,"310,676","515,231","305,523","2,016",President
VT,"178,573","95,369","41,125","2,016",President
VA,"1,981,473","1,769,443","233,715","2,016",President
WA,"1,742,718","1,221,747","352,554","2,016",President
WV,"188,794","489,371","36,258","2,016",President
WI,"1,382,536","1,405,284","188,330","2,016",President
WY,"55,973","174,419","25,457","2,016",President
AL,"748,709","1,335,104","3,631","2,016",Senate
AK,"36,200","138,149","137,092","2,016",Senate
AS,,,,"2,016",Senate
AZ,"1,031,245","1,359,267","140,218","2,016",Senate
AR,"400,602","661,984","44,936","2,016",Senate
CA,"12,244,176",,,"2,016",Senate
CO,"1,370,710","1,215,318","157,001","2,016",Senate
CT,"920,766","552,621","122,889","2,016",Senate
DE,,,,"2,016",Senate
DC,,,,"2,016",Senate
FL,"4,122,088","4,835,191","344,541","2,016",Senate
GA,"1,599,726","2,135,806","163,073","2,016",Senate
GU,,,,"2,016",Senate
HI,"306,604","92,653","17,305","2,016",Senate
ID,"188,249","449,017","41,677","2,016",Senate
IL,"3,012,940","2,184,692","294,246","2,016",Senate
IN,"1,158,947","1,423,991","149,608","2,016",Senate
IA,"549,460","926,007","65,569","2,016",Senate
KS,"379,740","732,376","65,806","2,016",Senate
KY,"813,246","1,090,177",42,"2,016",Senate
LA,"1,043,104","1,722,080","52,458","2,016",Senate
ME,,,,"2,016",Senate
MD,"1,659,907","972,557","93,706","2,016",Senate
MA,,,,"2,016",Senate
MI,,,,"2,016",Senate
MN,,,,"2,016",Senate
MS,,,,"2,016",Senate
MO,"1,300,200","1,378,458","123,983","2,016",Senate
MT,,,,"2,016",Senate
NE,,,,"2,016",Senate
NV,"521,994","495,079","91,221","2,016",Senate
NH,"354,649","353,632","30,859","2,016",Senate
NJ,,,,"2,016",Senate
NM,,,,"2,016",Senate
NY,"4,784,218","1,723,920","888,167","2,016",Senate
NC,"2,128,165","2,395,376","167,592","2,016",Senate
ND,"58,116","268,788","15,597","2,016",Senate
MP,,,,"2,016",Senate
OH,"1,996,908","3,118,567","258,689","2,016",Senate
OK,"355,911","980,892","111,244","2,016",Senate
OR,"1,105,119","651,106","196,253","2,016",Senate
PA,"2,865,012","2,951,702","241,797","2,016",Senate
PR,,,,"2,016",Senate
RI,,,,"2,016",Senate
SC,"704,540","1,241,609","103,744","2,016",Senate
SD,"104,140","265,516",,"2,016",Senate
TN,,,,"2,016",Senate
TX,,,,"2,016",Senate
UT,"301,860","760,241","53,507","2,016",Senate
VT,"192,243","103,637","17,929","2,016",Senate
VI,,,,"2,016",Senate
VA,,,,"2,016",Senate
WA,"1,913,979","1,329,338",,"2,016",Senate
WV,,,,"2,016",Senate
WI,"1,380,335","1,479,471","88,935","2,016",Senate
WY,,,,"2,016",Senate
AL,"621,911","1,222,018","45,756","2,016",House
AK,"111,019","155,088","42,091","2,016",House
AS,"2,740","8,923",171,"2,016",House
AZ,"1,034,687","1,264,378","112,999","2,016",House
AR,"111,347","760,415","196,815","2,016",House
CA,"8,624,432","4,682,033","107,553","2,016",House
CO,"1,263,791","1,288,618","149,152","2,016",House
CT,"916,815","558,162","100,206","2,016",House
DE,"233,554","172,301","14,785","2,016",House
